"Statistic Label","Year","Sex","County","Age Group","Cause of Death","UNIT","VALUE"
"Age-standardised mortality rate","2021","Both sexes","Co. Donegal","All ages","Accidents","Rate","20.94"
"Age-standardised mortality rate","2021","Both sexes","Co. Dublin","0 - 64 years","Accidents","Rate","15.78"
"Age-standardised mortality rate","2021","Both sexes","Co. Dublin","0 - 74 years","Accidents","Rate","17.01"
"Age-standardised mortality rate","2021","Both sexes","Co. Dublin","65 years and over","Accidents","Rate","76.17"
"Age-standardised mortality rate","2021","Both sexes","Co. Dublin","75 years and over","Accidents","Rate","134.14"
"Age-standardised mortality rate","2021","Both sexes","Co. Dublin","All ages","Accidents","Rate","27.55"
"Age-standardised mortality rate","2021","Both sexes","Co. Galway","0 - 64 years","Accidents","Rate","14.62"
"Age-standardised mortality rate","2021","Both sexes","Co. Galway","0 - 74 years","Accidents","Rate","16.86"
"Age-standardised mortality rate","2021","Both sexes","Co. Galway","65 years and over","Accidents","Rate","87"
"Age-standardised mortality rate","2021","Both sexes","Co. Galway","75 years and over","Accidents","Rate","148.73"
"Age-standardised mortality rate","2021","Both sexes","Co. Galway","All ages","Accidents","Rate","28.73"
"Age-standardised mortality rate","2021","Both sexes","Co. Kildare","0 - 64 years","Accidents","Rate","10.23"
"Age-standardised mortality rate","2021","Both sexes","Co. Kildare","0 - 74 years","Accidents","Rate","11.58"
"Age-standardised mortality rate","2021","Both sexes","Co. Kildare","65 years and over","Accidents","Rate","94.91"
"Age-standardised mortality rate","2021","Both sexes","Co. Kildare","75 years and over","Accidents","Rate","180.06"
"Age-standardised mortality rate","2021","Both sexes","Co. Kildare","All ages","Accidents","Rate","26.75"
"Age-standardised mortality rate","2021","Both sexes","Co. Kilkenny","0 - 64 years","Accidents","Rate","8.27"
"Age-standardised mortality rate","2021","Both sexes","Co. Kilkenny","0 - 74 years","Accidents","Rate","9.61"
"Age-standardised mortality rate","2021","Both sexes","Co. Kilkenny","65 years and over","Accidents","Rate","54.75"
"Age-standardised mortality rate","2021","Both sexes","Co. Kilkenny","75 years and over","Accidents","Rate","95.48"
"Age-standardised mortality rate","2021","Both sexes","Co. Kilkenny","All ages","Accidents","Rate","17.33"
"Age-standardised mortality rate","2021","Both sexes","Co. Kerry","0 - 64 years","Accidents","Rate","10.59"
"Age-standardised mortality rate","2021","Both sexes","Co. Kerry","0 - 74 years","Accidents","Rate","12.22"
"Age-standardised mortality rate","2021","Both sexes","Co. Kerry","65 years and over","Accidents","Rate","75.76"
"Age-standardised mortality rate","2021","Both sexes","Co. Kerry","75 years and over","Accidents","Rate","135.27"
"Age-standardised mortality rate","2021","Both sexes","Co. Kerry","All ages","Accidents","Rate","23.3"
"Age-standardised mortality rate","2021","Both sexes","Co. Longford","0 - 64 years","Accidents","Rate","9.55"
"Age-standardised mortality rate","2021","Both sexes","Co. Longford","0 - 74 years","Accidents","Rate","14.16"
"Age-standardised mortality rate","2021","Both sexes","Co. Longford","65 years and over","Accidents","Rate","165.1"
"Age-standardised mortality rate","2021","Both sexes","Co. Longford","75 years and over","Accidents","Rate","299.93"
"Age-standardised mortality rate","2021","Both sexes","Co. Longford","All ages","Accidents","Rate","39.88"
"Age-standardised mortality rate","2021","Both sexes","Co. Louth","0 - 64 years","Accidents","Rate","18.36"
"Age-standardised mortality rate","2021","Both sexes","Co. Louth","0 - 74 years","Accidents","Rate","16.24"
"Age-standardised mortality rate","2021","Both sexes","Co. Louth","65 years and over","Accidents","Rate","64.7"
"Age-standardised mortality rate","2021","Both sexes","Co. Louth","75 years and over","Accidents","Rate","140.18"
"Age-standardised mortality rate","2021","Both sexes","Co. Louth","All ages","Accidents","Rate","27.39"
"Age-standardised mortality rate","2021","Both sexes","Co. Limerick","0 - 64 years","Accidents","Rate","19.08"
"Age-standardised mortality rate","2021","Both sexes","Co. Limerick","0 - 74 years","Accidents","Rate","21.13"
"Age-standardised mortality rate","2021","Both sexes","Co. Limerick","65 years and over","Accidents","Rate","74.39"
"Age-standardised mortality rate","2021","Both sexes","Co. Limerick","75 years and over","Accidents","Rate","118.18"
"Age-standardised mortality rate","2021","Both sexes","Co. Limerick","All ages","Accidents","Rate","29.86"
"Age-standardised mortality rate","2021","Both sexes","Co. Leitrim","0 - 64 years","Accidents","Rate","15.33"
"Age-standardised mortality rate","2021","Both sexes","Co. Leitrim","0 - 74 years","Accidents","Rate","13.56"
"Age-standardised mortality rate","2021","Both sexes","Co. Leitrim","65 years and over","Accidents","Rate","71.34"
"Age-standardised mortality rate","2021","Both sexes","Co. Leitrim","75 years and over","Accidents","Rate","154.58"
"Age-standardised mortality rate","2021","Both sexes","Co. Leitrim","All ages","Accidents","Rate","26.25"
"Age-standardised mortality rate","2021","Both sexes","Co. Laois","0 - 64 years","Accidents","Rate","5.06"
"Age-standardised mortality rate","2021","Both sexes","Co. Laois","0 - 74 years","Accidents","Rate","9.24"
"Age-standardised mortality rate","2021","Both sexes","Co. Laois","65 years and over","Accidents","Rate","91.32"
"Age-standardised mortality rate","2021","Both sexes","Co. Laois","75 years and over","Accidents","Rate","149.65"
"Age-standardised mortality rate","2021","Both sexes","Co. Laois","All ages","Accidents","Rate","21.88"
"Age-standardised mortality rate","2021","Both sexes","Co. Meath","0 - 64 years","Accidents","Rate","11.13"
"Age-standardised mortality rate","2021","Both sexes","Co. Meath","0 - 74 years","Accidents","Rate","11.33"
"Age-standardised mortality rate","2021","Both sexes","Co. Meath","65 years and over","Accidents","Rate","82.1"
"Age-standardised mortality rate","2021","Both sexes","Co. Meath","75 years and over","Accidents","Rate","162.82"
"Age-standardised mortality rate","2021","Both sexes","Co. Meath","All ages","Accidents","Rate","24.97"
"Age-standardised mortality rate","2021","Both sexes","Co. Monaghan","0 - 64 years","Accidents","Rate","18.4"
"Age-standardised mortality rate","2021","Both sexes","Co. Monaghan","0 - 74 years","Accidents","Rate","20.15"
"Age-standardised mortality rate","2021","Both sexes","Co. Monaghan","65 years and over","Accidents","Rate","122.62"
"Age-standardised mortality rate","2021","Both sexes","Co. Monaghan","75 years and over","Accidents","Rate","226.47"
"Age-standardised mortality rate","2021","Both sexes","Co. Monaghan","All ages","Accidents","Rate","38.72"
"Age-standardised mortality rate","2021","Both sexes","Co. Mayo","0 - 64 years","Accidents","Rate","10.54"
"Age-standardised mortality rate","2021","Both sexes","Co. Mayo","0 - 74 years","Accidents","Rate","13.23"
"Age-standardised mortality rate","2021","Both sexes","Co. Mayo","65 years and over","Accidents","Rate","57.82"
"Age-standardised mortality rate","2021","Both sexes","Co. Mayo","75 years and over","Accidents","Rate","85.81"
"Age-standardised mortality rate","2021","Both sexes","Co. Mayo","All ages","Accidents","Rate","19.76"
"Age-standardised mortality rate","2021","Both sexes","Co. Offaly","0 - 64 years","Accidents","Rate","7.95"
"Age-standardised mortality rate","2021","Both sexes","Co. Offaly","0 - 74 years","Accidents","Rate","8.52"
"Age-standardised mortality rate","2021","Both sexes","Co. Offaly","65 years and over","Accidents","Rate","45.52"
"Age-standardised mortality rate","2021","Both sexes","Co. Offaly","75 years and over","Accidents","Rate","83.61"
"Age-standardised mortality rate","2021","Both sexes","Co. Offaly","All ages","Accidents","Rate","15.28"
"Age-standardised mortality rate","2021","Both sexes","Co. Roscommon","0 - 64 years","Accidents","Rate","12.68"
"Age-standardised mortality rate","2021","Both sexes","Co. Roscommon","0 - 74 years","Accidents","Rate","16.43"
"Age-standardised mortality rate","2021","Both sexes","Co. Roscommon","65 years and over","Accidents","Rate","83.54"
"Age-standardised mortality rate","2021","Both sexes","Co. Roscommon","75 years and over","Accidents","Rate","128.29"
"Age-standardised mortality rate","2021","Both sexes","Co. Roscommon","All ages","Accidents","Rate","26.5"
"Age-standardised mortality rate","2021","Both sexes","Co. Sligo","0 - 64 years","Accidents","Rate","18.59"
"Age-standardised mortality rate","2021","Both sexes","Co. Sligo","0 - 74 years","Accidents","Rate","16.44"
"Age-standardised mortality rate","2021","Both sexes","Co. Sligo","65 years and over","Accidents","Rate","37.83"
"Age-standardised mortality rate","2021","Both sexes","Co. Sligo","75 years and over","Accidents","Rate","81.95"
"Age-standardised mortality rate","2021","Both sexes","Co. Sligo","All ages","Accidents","Rate","22.34"
"Age-standardised mortality rate","2021","Both sexes","Co. Tipperary","0 - 64 years","Accidents","Rate","19.32"
"Age-standardised mortality rate","2021","Both sexes","Co. Tipperary","0 - 74 years","Accidents","Rate","19.3"
"Age-standardised mortality rate","2021","Both sexes","Co. Tipperary","65 years and over","Accidents","Rate","63.3"
"Age-standardised mortality rate","2021","Both sexes","Co. Tipperary","75 years and over","Accidents","Rate","114.8"
"Age-standardised mortality rate","2021","Both sexes","Co. Tipperary","All ages","Accidents","Rate","27.89"
"Age-standardised mortality rate","2021","Both sexes","Co. Waterford","0 - 64 years","Accidents","Rate","27.83"
"Age-standardised mortality rate","2021","Both sexes","Co. Waterford","0 - 74 years","Accidents","Rate","26.56"
"Age-standardised mortality rate","2021","Both sexes","Co. Waterford","65 years and over","Accidents","Rate","101.12"
"Age-standardised mortality rate","2021","Both sexes","Co. Waterford","75 years and over","Accidents","Rate","199.49"
"Age-standardised mortality rate","2021","Both sexes","Co. Waterford","All ages","Accidents","Rate","42.12"
"Age-standardised mortality rate","2021","Both sexes","Co. Wicklow","0 - 64 years","Accidents","Rate","13.73"
"Age-standardised mortality rate","2021","Both sexes","Co. Wicklow","0 - 74 years","Accidents","Rate","13.9"
"Age-standardised mortality rate","2021","Both sexes","Co. Wicklow","65 years and over","Accidents","Rate","59.7"
"Age-standardised mortality rate","2021","Both sexes","Co. Wicklow","75 years and over","Accidents","Rate","111.6"
"Age-standardised mortality rate","2021","Both sexes","Co. Wicklow","All ages","Accidents","Rate","22.69"
"Age-standardised mortality rate","2021","Both sexes","Co. Westmeath","0 - 64 years","Accidents","Rate","13.18"
"Age-standardised mortality rate","2021","Both sexes","Co. Westmeath","0 - 74 years","Accidents","Rate","14.34"
"Age-standardised mortality rate","2021","Both sexes","Co. Westmeath","65 years and over","Accidents","Rate","66.36"
"Age-standardised mortality rate","2021","Both sexes","Co. Westmeath","75 years and over","Accidents","Rate","116.64"
"Age-standardised mortality rate","2021","Both sexes","Co. Westmeath","All ages","Accidents","Rate","23.55"
"Age-standardised mortality rate","2021","Both sexes","Co. Wexford","0 - 64 years","Accidents","Rate","20.36"
"Age-standardised mortality rate","2021","Both sexes","Co. Wexford","0 - 74 years","Accidents","Rate","21.94"
"Age-standardised mortality rate","2021","Both sexes","Co. Wexford","65 years and over","Accidents","Rate","65.16"
"Age-standardised mortality rate","2021","Both sexes","Co. Wexford","75 years and over","Accidents","Rate","101.48"
"Age-standardised mortality rate","2021","Both sexes","Co. Wexford","All ages","Accidents","Rate","29.09"
"Age-standardised mortality rate","2021","Male","Ireland","0 - 64 years","Accidents","Rate","21.21"
"Age-standardised mortality rate","2021","Male","Ireland","0 - 74 years","Accidents","Rate","23.11"
"Age-standardised mortality rate","2021","Male","Ireland","65 years and over","Accidents","Rate","98.77"
"Age-standardised mortality rate","2021","Male","Ireland","75 years and over","Accidents","Rate","170.09"
"Age-standardised mortality rate","2021","Male","Ireland","All ages","Accidents","Rate","36.33"
"Age-standardised mortality rate","2021","Male","Co. Clare","0 - 64 years","Accidents","Rate","20.87"
"Age-standardised mortality rate","2021","Male","Co. Clare","0 - 74 years","Accidents","Rate","22.45"
"Age-standardised mortality rate","2021","Male","Co. Clare","65 years and over","Accidents","Rate","98.06"
"Age-standardised mortality rate","2021","Male","Co. Clare","75 years and over","Accidents","Rate","172.11"
"Age-standardised mortality rate","2021","Male","Co. Clare","All ages","Accidents","Rate","35.92"
"Age-standardised mortality rate","2021","Male","Co. Cork","0 - 64 years","Accidents","Rate","18.22"
"Age-standardised mortality rate","2021","Male","Co. Cork","0 - 74 years","Accidents","Rate","25.22"
"Age-standardised mortality rate","2021","Male","Co. Cork","65 years and over","Accidents","Rate","103.18"
"Age-standardised mortality rate","2021","Male","Co. Cork","75 years and over","Accidents","Rate","131.57"
"Age-standardised mortality rate","2021","Male","Co. Cork","All ages","Accidents","Rate","34.79"
"Age-standardised mortality rate","2021","Male","Co. Cavan","0 - 64 years","Accidents","Rate","21.29"
"Age-standardised mortality rate","2021","Male","Co. Cavan","0 - 74 years","Accidents","Rate","31.29"
"Age-standardised mortality rate","2021","Male","Co. Cavan","65 years and over","Accidents","Rate","211.52"
"Age-standardised mortality rate","2021","Male","Co. Cavan","75 years and over","Accidents","Rate","332.38"
"Age-standardised mortality rate","2021","Male","Co. Cavan","All ages","Accidents","Rate","58.38"
"Age-standardised mortality rate","2021","Male","Co. Carlow","0 - 64 years","Accidents","Rate","29.25"
"Age-standardised mortality rate","2021","Male","Co. Carlow","0 - 74 years","Accidents","Rate","34.44"
"Age-standardised mortality rate","2021","Male","Co. Carlow","65 years and over","Accidents","Rate","162.93"
"Age-standardised mortality rate","2021","Male","Co. Carlow","75 years and over","Accidents","Rate","266.46"
"Age-standardised mortality rate","2021","Male","Co. Carlow","All ages","Accidents","Rate","55.32"
"Age-standardised mortality rate","2021","Male","Co. Donegal","0 - 64 years","Accidents","Rate","13.73"
"Age-standardised mortality rate","2021","Male","Co. Donegal","0 - 74 years","Accidents","Rate","14.97"
"Age-standardised mortality rate","2021","Male","Co. Donegal","65 years and over","Accidents","Rate","63.57"
"Age-standardised mortality rate","2021","Male","Co. Donegal","75 years and over","Accidents","Rate","109.18"
"Age-standardised mortality rate","2021","Male","Co. Donegal","All ages","Accidents","Rate","23.45"
"Age-standardised mortality rate","2021","Male","Co. Dublin","0 - 64 years","Accidents","Rate","22.29"
"Age-standardised mortality rate","2021","Male","Co. Dublin","0 - 74 years","Accidents","Rate","23.67"
"Age-standardised mortality rate","2021","Male","Co. Dublin","65 years and over","Accidents","Rate","106.9"
"Age-standardised mortality rate","2021","Male","Co. Dublin","75 years and over","Accidents","Rate","191.65"
"Age-standardised mortality rate","2021","Male","Co. Dublin","All ages","Accidents","Rate","38.79"
"Age-standardised mortality rate","2021","Male","Co. Galway","0 - 64 years","Accidents","Rate","21.9"
"Age-standardised mortality rate","2021","Male","Co. Galway","0 - 74 years","Accidents","Rate","22.44"
"Age-standardised mortality rate","2021","Male","Co. Galway","65 years and over","Accidents","Rate","93.69"
"Age-standardised mortality rate","2021","Male","Co. Galway","75 years and over","Accidents","Rate","171.92"
"Age-standardised mortality rate","2021","Male","Co. Galway","All ages","Accidents","Rate","35.9"
"Age-standardised mortality rate","2021","Male","Co. Kildare","0 - 64 years","Accidents","Rate","15.06"
"Age-standardised mortality rate","2021","Male","Co. Kildare","0 - 74 years","Accidents","Rate","15.97"
"Age-standardised mortality rate","2021","Male","Co. Kildare","65 years and over","Accidents","Rate","128.74"
"Age-standardised mortality rate","2021","Male","Co. Kildare","75 years and over","Accidents","Rate","252.19"
"Age-standardised mortality rate","2021","Male","Co. Kildare","All ages","Accidents","Rate","37.23"
"Age-standardised mortality rate","2021","Male","Co. Kilkenny","0 - 64 years","Accidents","Rate","8.94"
"Age-standardised mortality rate","2021","Male","Co. Kilkenny","0 - 74 years","Accidents","Rate","10.17"
"Age-standardised mortality rate","2021","Male","Co. Kilkenny","65 years and over","Accidents","Rate","96.85"
"Age-standardised mortality rate","2021","Male","Co. Kilkenny","75 years and over","Accidents","Rate","186.93"
"Age-standardised mortality rate","2021","Male","Co. Kilkenny","All ages","Accidents","Rate","26.08"
"Age-standardised mortality rate","2021","Male","Co. Kerry","0 - 64 years","Accidents","Rate","14.55"
"Age-standardised mortality rate","2021","Male","Co. Kerry","0 - 74 years","Accidents","Rate","15.7"
"Age-standardised mortality rate","2021","Male","Co. Kerry","65 years and over","Accidents","Rate","104.11"
"Age-standardised mortality rate","2021","Male","Co. Kerry","75 years and over","Accidents","Rate","196.93"
"Age-standardised mortality rate","2021","Male","Co. Kerry","All ages","Accidents","Rate","32.01"
"Age-standardised mortality rate","2021","Male","Co. Longford","0 - 64 years","Accidents","Rate","12.69"
"Age-standardised mortality rate","2021","Male","Co. Longford","0 - 74 years","Accidents","Rate","16.73"
"Age-standardised mortality rate","2021","Male","Co. Longford","65 years and over","Accidents","Rate","142.36"
"Age-standardised mortality rate","2021","Male","Co. Longford","75 years and over","Accidents","Rate","252.83"
"Age-standardised mortality rate","2021","Male","Co. Longford","All ages","Accidents","Rate","37.98"
"Age-standardised mortality rate","2021","Male","Co. Louth","0 - 64 years","Accidents","Rate","29.62"
"Age-standardised mortality rate","2021","Male","Co. Louth","0 - 74 years","Accidents","Rate","26.2"
"Age-standardised mortality rate","2021","Male","Co. Louth","65 years and over","Accidents","Rate","66.9"
"Age-standardised mortality rate","2021","Male","Co. Louth","75 years and over","Accidents","Rate","144.95"
"Age-standardised mortality rate","2021","Male","Co. Louth","All ages","Accidents","Rate","36.89"
"Age-standardised mortality rate","2021","Male","Co. Limerick","0 - 64 years","Accidents","Rate","28.06"
"Age-standardised mortality rate","2021","Male","Co. Limerick","0 - 74 years","Accidents","Rate","28.55"
"Age-standardised mortality rate","2021","Male","Co. Limerick","65 years and over","Accidents","Rate","78.22"
"Age-standardised mortality rate","2021","Male","Co. Limerick","75 years and over","Accidents","Rate","131.82"
"Age-standardised mortality rate","2021","Male","Co. Limerick","All ages","Accidents","Rate","37.84"
"Age-standardised mortality rate","2021","Male","Co. Leitrim","0 - 64 years","Accidents","Rate","24.3"
"Age-standardised mortality rate","2021","Male","Co. Leitrim","0 - 74 years","Accidents","Rate","21.5"
"Age-standardised mortality rate","2021","Male","Co. Leitrim","65 years and over","Accidents","Rate","101.99"
"Age-standardised mortality rate","2021","Male","Co. Leitrim","75 years and over","Accidents","Rate","220.98"
"Age-standardised mortality rate","2021","Male","Co. Leitrim","All ages","Accidents","Rate","39.45"
"Age-standardised mortality rate","2021","Male","Co. Laois","0 - 64 years","Accidents","Rate","7.28"
"Age-standardised mortality rate","2021","Male","Co. Laois","0 - 74 years","Accidents","Rate","15.88"
"Age-standardised mortality rate","2021","Male","Co. Laois","65 years and over","Accidents","Rate","110.22"
"Age-standardised mortality rate","2021","Male","Co. Laois","75 years and over","Accidents","Rate","143.38"
"Age-standardised mortality rate","2021","Male","Co. Laois","All ages","Accidents","Rate","27.35"
"Age-standardised mortality rate","2021","Male","Co. Meath","0 - 64 years","Accidents","Rate","16.81"
"Age-standardised mortality rate","2021","Male","Co. Meath","0 - 74 years","Accidents","Rate","17.86"
"Age-standardised mortality rate","2021","Male","Co. Meath","65 years and over","Accidents","Rate","149.52"
"Age-standardised mortality rate","2021","Male","Co. Meath","75 years and over","Accidents","Rate","293.71"
"Age-standardised mortality rate","2021","Male","Co. Meath","All ages","Accidents","Rate","42.69"
"Age-standardised mortality rate","2021","Male","Co. Monaghan","0 - 64 years","Accidents","Rate","32.45"
"Age-standardised mortality rate","2021","Male","Co. Monaghan","0 - 74 years","Accidents","Rate","28.71"
"Age-standardised mortality rate","2021","Male","Co. Monaghan","65 years and over","Accidents","Rate","66.19"
"Age-standardised mortality rate","2021","Male","Co. Monaghan","75 years and over","Accidents","Rate","143.41"
"Age-standardised mortality rate","2021","Male","Co. Monaghan","All ages","Accidents","Rate","39.03"
"Age-standardised mortality rate","2021","Male","Co. Mayo","0 - 64 years","Accidents","Rate","15.93"
"Age-standardised mortality rate","2021","Male","Co. Mayo","0 - 74 years","Accidents","Rate","21.73"
"Age-standardised mortality rate","2021","Male","Co. Mayo","65 years and over","Accidents","Rate","96.05"
"Age-standardised mortality rate","2021","Male","Co. Mayo","75 years and over","Accidents","Rate","130.91"
"Age-standardised mortality rate","2021","Male","Co. Mayo","All ages","Accidents","Rate","31.55"
"Age-standardised mortality rate","2021","Male","Co. Offaly","0 - 64 years","Accidents","Rate","15.99"
"Age-standardised mortality rate","2021","Male","Co. Offaly","0 - 74 years","Accidents","Rate","14.15"
"Age-standardised mortality rate","2021","Male","Co. Offaly","65 years and over","Accidents","Rate","19.91"
"Age-standardised mortality rate","2021","Male","Co. Offaly","75 years and over","Accidents","Rate","43.13"
"Age-standardised mortality rate","2021","Male","Co. Offaly","All ages","Accidents","Rate","16.75"
"Age-standardised mortality rate","2021","Male","Co. Roscommon","0 - 64 years","Accidents","Rate","14.49"
"Age-standardised mortality rate","2021","Male","Co. Roscommon","0 - 74 years","Accidents","Rate","19.83"
"Age-standardised mortality rate","2021","Male","Co. Roscommon","65 years and over","Accidents","Rate","119.5"
"Age-standardised mortality rate","2021","Male","Co. Roscommon","75 years and over","Accidents","Rate","188"
"Age-standardised mortality rate","2021","Male","Co. Roscommon","All ages","Accidents","Rate","34.97"
"Age-standardised mortality rate","2021","Male","Co. Sligo","0 - 64 years","Accidents","Rate","30.59"
"Age-standardised mortality rate","2021","Male","Co. Sligo","0 - 74 years","Accidents","Rate","27.06"
"Age-standardised mortality rate","2021","Male","Co. Sligo","65 years and over","Accidents","Rate","17.74"
"Age-standardised mortality rate","2021","Male","Co. Sligo","75 years and over","Accidents","Rate","38.45"
"Age-standardised mortality rate","2021","Male","Co. Sligo","All ages","Accidents","Rate","28.09"
"Age-standardised mortality rate","2021","Male","Co. Tipperary","0 - 64 years","Accidents","Rate","28.33"
"Age-standardised mortality rate","2021","Male","Co. Tipperary","0 - 74 years","Accidents","Rate","29.51"
"Age-standardised mortality rate","2021","Male","Co. Tipperary","65 years and over","Accidents","Rate","95.74"
"Age-standardised mortality rate","2021","Male","Co. Tipperary","75 years and over","Accidents","Rate","162.41"
"Age-standardised mortality rate","2021","Male","Co. Tipperary","All ages","Accidents","Rate","41.47"
"Age-standardised mortality rate","2021","Male","Co. Waterford","0 - 64 years","Accidents","Rate","43.69"
"Age-standardised mortality rate","2021","Male","Co. Waterford","0 - 74 years","Accidents","Rate","40.57"
"Age-standardised mortality rate","2021","Male","Co. Waterford","65 years and over","Accidents","Rate","176.82"
"Age-standardised mortality rate","2021","Male","Co. Waterford","75 years and over","Accidents","Rate","363.72"
"Age-standardised mortality rate","2021","Male","Co. Waterford","All ages","Accidents","Rate","69.65"
"Age-standardised mortality rate","2021","Male","Co. Wicklow","0 - 64 years","Accidents","Rate","21.1"
"Age-standardised mortality rate","2021","Male","Co. Wicklow","0 - 74 years","Accidents","Rate","18.67"
"Age-standardised mortality rate","2021","Male","Co. Wicklow","65 years and over","Accidents","Rate","32.27"
"Age-standardised mortality rate","2021","Male","Co. Wicklow","75 years and over","Accidents","Rate","69.92"
"Age-standardised mortality rate","2021","Male","Co. Wicklow","All ages","Accidents","Rate","23.28"
"Age-standardised mortality rate","2021","Male","Co. Westmeath","0 - 64 years","Accidents","Rate","18.49"
"Age-standardised mortality rate","2021","Male","Co. Westmeath","0 - 74 years","Accidents","Rate","21.67"
"Age-standardised mortality rate","2021","Male","Co. Westmeath","65 years and over","Accidents","Rate","57.76"
"Age-standardised mortality rate","2021","Male","Co. Westmeath","75 years and over","Accidents","Rate","71.39"
"Age-standardised mortality rate","2021","Male","Co. Westmeath","All ages","Accidents","Rate","26.15"
"Age-standardised mortality rate","2021","Male","Co. Wexford","0 - 64 years","Accidents","Rate","32.26"
"Age-standardised mortality rate","2021","Male","Co. Wexford","0 - 74 years","Accidents","Rate","33.32"
"Age-standardised mortality rate","2021","Male","Co. Wexford","65 years and over","Accidents","Rate","54.73"
"Age-standardised mortality rate","2021","Male","Co. Wexford","75 years and over","Accidents","Rate","70.21"
"Age-standardised mortality rate","2021","Male","Co. Wexford","All ages","Accidents","Rate","36.64"
"Age-standardised mortality rate","2021","Female","Ireland","0 - 64 years","Accidents","Rate","8.25"
"Age-standardised mortality rate","2021","Female","Ireland","0 - 74 years","Accidents","Rate","9.82"
"Age-standardised mortality rate","2021","Female","Ireland","65 years and over","Accidents","Rate","63.23"
"Age-standardised mortality rate","2021","Female","Ireland","75 years and over","Accidents","Rate","111.48"
"Age-standardised mortality rate","2021","Female","Ireland","All ages","Accidents","Rate","18.97"
"Age-standardised mortality rate","2021","Female","Co. Clare","0 - 64 years","Accidents","Rate","6.49"
"Age-standardised mortality rate","2021","Female","Co. Clare","0 - 74 years","Accidents","Rate","7.64"
"Age-standardised mortality rate","2021","Female","Co. Clare","65 years and over","Accidents","Rate","85.75"
"Age-standardised mortality rate","2021","Female","Co. Clare","75 years and over","Accidents","Rate","166.54"
"Age-standardised mortality rate","2021","Female","Co. Clare","All ages","Accidents","Rate","21.94"
"Age-standardised mortality rate","2021","Female","Co. Cork","0 - 64 years","Accidents","Rate","10.32"
"Age-standardised mortality rate","2021","Female","Co. Cork","0 - 74 years","Accidents","Rate","12.36"
"Age-standardised mortality rate","2021","Female","Co. Cork","65 years and over","Accidents","Rate","71.19"
"Age-standardised mortality rate","2021","Female","Co. Cork","75 years and over","Accidents","Rate","121.61"
"Age-standardised mortality rate","2021","Female","Co. Cork","All ages","Accidents","Rate","22.19"
"Age-standardised mortality rate","2021","Female","Co. Cavan","0 - 64 years","Accidents","Rate","13.91"
