"Statistic Label","Year","Sex","County","Age Group","Cause of Death","UNIT","VALUE"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Diabetes mellitus","Rate","22.83"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","0.73"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Drug dependance, toxicomania","Rate","0.56"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Meningitis","Rate","0.34"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Accidents","Rate","36.32"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Transport accidents","Rate","3.49"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Diabetes mellitus","Rate","3.92"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Accidents","Rate","32.38"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 64 years","Transport accidents","Rate","6.09"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","1.85"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Diabetes mellitus","Rate","5.31"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Accidents","Rate","28.65"
"Age-standardised mortality rate","2022","Male","Co. Clare","0 - 74 years","Transport accidents","Rate","5.39"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Infectious and parasitic diseases","Rate","62.8"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","53.27"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Diabetes mellitus","Rate","112.48"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Accidents","Rate","108.82"
"Age-standardised mortality rate","2022","Male","Co. Clare","65 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Infectious and parasitic diseases","Rate","136.07"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","96.75"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Diabetes mellitus","Rate","225.05"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Accidents","Rate","235.78"
"Age-standardised mortality rate","2022","Male","Co. Clare","75 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Infectious and parasitic diseases","Rate","12.25"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","10.39"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Diabetes mellitus","Rate","25.09"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Accidents","Rate","47.29"
"Age-standardised mortality rate","2022","Male","Co. Clare","All ages","Transport accidents","Rate","4.91"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Infectious and parasitic diseases","Rate","0.44"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","1.75"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Diabetes mellitus","Rate","1.73"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.44"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Drug dependance, toxicomania","Rate","1.31"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Accidents","Rate","25.31"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 64 years","Transport accidents","Rate","2.97"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Infectious and parasitic diseases","Rate","1.3"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","2.46"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Diabetes mellitus","Rate","5.25"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.39"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Drug dependance, toxicomania","Rate","1.16"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Accidents","Rate","28.84"
"Age-standardised mortality rate","2022","Male","Co. Cork","0 - 74 years","Transport accidents","Rate","3.1"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Infectious and parasitic diseases","Rate","27.83"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","4.26"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Diabetes mellitus","Rate","122.38"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","2.4"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Accidents","Rate","111.01"
"Age-standardised mortality rate","2022","Male","Co. Cork","65 years and over","Transport accidents","Rate","7.67"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Infectious and parasitic diseases","Rate","51.07"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Diabetes mellitus","Rate","227.57"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","5.2"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Accidents","Rate","175.28"
"Age-standardised mortality rate","2022","Male","Co. Cork","75 years and over","Transport accidents","Rate","11.82"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Infectious and parasitic diseases","Rate","5.78"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","2.24"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Diabetes mellitus","Rate","25.26"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","0.82"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Drug dependance, toxicomania","Rate","1.06"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Accidents","Rate","42.02"
"Age-standardised mortality rate","2022","Male","Co. Cork","All ages","Transport accidents","Rate","3.88"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Diabetes mellitus","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Accidents","Rate","32.39"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 64 years","Transport accidents","Rate","5.61"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Diabetes mellitus","Rate","3.22"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Accidents","Rate","31.56"
"Age-standardised mortality rate","2022","Male","Co. Cavan","0 - 74 years","Transport accidents","Rate","4.96"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Infectious and parasitic diseases","Rate","66.67"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","109.29"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Diabetes mellitus","Rate","107.57"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Accidents","Rate","93.07"
"Age-standardised mortality rate","2022","Male","Co. Cavan","65 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Infectious and parasitic diseases","Rate","144.45"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","236.8"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Diabetes mellitus","Rate","200.47"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Accidents","Rate","172.24"
"Age-standardised mortality rate","2022","Male","Co. Cavan","75 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Infectious and parasitic diseases","Rate","13"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","21.31"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Diabetes mellitus","Rate","20.98"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Accidents","Rate","44.22"
"Age-standardised mortality rate","2022","Male","Co. Cavan","All ages","Transport accidents","Rate","4.51"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Diabetes mellitus","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Drug dependance, toxicomania","Rate","4.13"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Accidents","Rate","24.34"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 64 years","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Infectious and parasitic diseases","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Diabetes mellitus","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Drug dependance, toxicomania","Rate","3.65"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Accidents","Rate","21.53"
"Age-standardised mortality rate","2022","Male","Co. Carlow","0 - 74 years","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Infectious and parasitic diseases","Rate","193.15"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","41.44"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Diabetes mellitus","Rate","54.42"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Accidents","Rate","29.82"
"Age-standardised mortality rate","2022","Male","Co. Carlow","65 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Infectious and parasitic diseases","Rate","418.48"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","89.79"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Diabetes mellitus","Rate","117.92"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Accidents","Rate","64.6"
"Age-standardised mortality rate","2022","Male","Co. Carlow","75 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Infectious and parasitic diseases","Rate","37.66"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","8.08"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Diabetes mellitus","Rate","10.61"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Drug dependance, toxicomania","Rate","3.32"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Accidents","Rate","25.41"
"Age-standardised mortality rate","2022","Male","Co. Carlow","All ages","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Infectious and parasitic diseases","Rate","1.23"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Diabetes mellitus","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Meningitis","Rate","1.56"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Accidents","Rate","3.11"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 64 years","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Infectious and parasitic diseases","Rate","2.52"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Diabetes mellitus","Rate","6.82"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","4.12"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Meningitis","Rate","1.38"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Accidents","Rate","8.47"
"Age-standardised mortality rate","2022","Male","Co. Donegal","0 - 74 years","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Infectious and parasitic diseases","Rate","13.75"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","13.82"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Diabetes mellitus","Rate","116.46"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","19.25"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Accidents","Rate","213.15"
"Age-standardised mortality rate","2022","Male","Co. Donegal","65 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Infectious and parasitic diseases","Rate","15.36"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","29.95"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Diabetes mellitus","Rate","183.38"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Meningitis","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Accidents","Rate","404.06"
"Age-standardised mortality rate","2022","Male","Co. Donegal","75 years and over","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Infectious and parasitic diseases","Rate","3.67"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","2.7"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Diabetes mellitus","Rate","22.71"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Alcohol abuse (including alcoholic psychosis)","Rate","3.75"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Meningitis","Rate","1.25"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Accidents","Rate","44.07"
"Age-standardised mortality rate","2022","Male","Co. Donegal","All ages","Transport accidents","Rate","0"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Infectious and parasitic diseases","Rate","3.04"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0.44"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Diabetes mellitus","Rate","2.02"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.36"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Drug dependance, toxicomania","Rate","0.92"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Meningitis","Rate","0.17"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Accidents","Rate","21.46"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 64 years","Transport accidents","Rate","1.58"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Infectious and parasitic diseases","Rate","3.85"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0.84"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Diabetes mellitus","Rate","3.14"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.32"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Drug dependance, toxicomania","Rate","0.82"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Meningitis","Rate","0.15"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Accidents","Rate","21.01"
"Age-standardised mortality rate","2022","Male","Co. Dublin","0 - 74 years","Transport accidents","Rate","1.4"
"Age-standardised mortality rate","2022","Male","Co. Dublin","65 years and over","Infectious and parasitic diseases","Rate","43.72"
"Age-standardised mortality rate","2022","Male","Co. Dublin","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","18.27"
"Age-standardised mortality rate","2022","Male","Co. Dublin","65 years and over","Diabetes mellitus","Rate","76.82"
